Rank|ChatMessage
Gold|the stop team nice
Platinum|garbo mid team report my play
Gold|game nice clean bro glhf my are
Gold|play clutch are save glhf you
Silver|my garbo are
Platinum|garbo quit garbage team stop
Bronze|useless are garbo my bot
Grandmaster|you play garbo stop trash are uninstall
Silver|garbo useless stop the
Silver|diff stop trash play team noob bro
Silver|bro the diff ez play afk you
Bronze|save wp team the my clutch
Platinum|mb play my are good
Platinum|my team ez suck report game mid
Celestial|game stop trash
Gold|glhf you good mid
Silver|play you uninstall are
Gold|stop mid wp clutch my bro
Platinum|mid the garbage bro
Platinum|glhf mid stop
Bronze|are stop diff play
Silver|you noob afk bro
Silver|garbage my thrower the
Silver|save bro are wp
Silver|afk my trash uninstall play stop
Bronze|are stop diff the noob you garbage
Gold|glhf stop you the
Silver|suck my bot play
Silver|afk bot bro my you game garbo
Bronze|you garbage stop the
Platinum|team bot useless are the
Silver|diff ez my thrower stop
Platinum|garbage team you useless stop
Gold|the gg my clean game clutch
Gold|game good gg mid
Platinum|mid diff game are
Diamond|play noob useless bot you game bro
Silver|mb you clutch bro team game gg
Silver|game you nice good glhf
Gold|play mid diff team bot my
Platinum|garbo thrower my game
Bronze|trash team the bot are report
Bronze|report ez stop are
Platinum|team uninstall play ez suck game
Platinum|my bot useless suck stop bro the
Gold|game bro afk are quit
Platinum|clean team stop save
Gold|uninstall are play mid you suck garbo
Bronze|game the wp clean team nice
Platinum|quit my play are
Grandmaster|the mb stop
Gold|stop uninstall are
Bronze|good are mid nice save play
Gold|afk uninstall play stop the diff
Bronze|bro my are stop thrower
Gold|my good game clean save
Gold|stop diff game the
Silver|stop my team suck you
Gold|bro diff team game
Gold|suck garbage are noob stop mid
Platinum|you garbage mid report my diff
Gold|are you glhf game
Silver|my team play noob suck are
Silver|the stop useless bro
Platinum|team useless thrower are game my ez
Gold|stop report trash diff team
Silver|bro stop team my report noob
Gold|game stop wp nice bro
Gold|mb team stop game mid glhf
Diamond|my are team thrower
Gold|wp stop my mid good mb
Gold|game mid save clutch play
Bronze|play team uninstall bot thrower
Gold|stop trash bot mid noob
Platinum|play are diff team noob stop useless
Silver|stop quit you garbage the game
Silver|mid suck game
Bronze|game glhf team
Platinum|save play you wp my
Gold|the are glhf game my clean
Diamond|my play uninstall ez bro
Bronze|my you mid uninstall team garbage useless
Gold|suck stop garbo noob my you
Gold|team my diff uninstall stop mid
Bronze|trash you team stop garbo
Gold|my you the useless are uninstall
Silver|are uninstall my mid
Gold|team garbage you suck trash stop bro
Bronze|my thrower quit are you report the
Bronze|you suck my trash garbage play
Gold|are my play save
Bronze|bot garbage mid the
Gold|nice the you are wp mb mid
Gold|bro wp play mid
Bronze|noob play ez stop the
Gold|the stop garbo diff bro you
Diamond|mid afk thrower play noob
Gold|the thrower play are ez
Platinum|game mb glhf team
Gold|game my play nice mb
Bronze|thrower play suck the bot
Bronze|thrower garbage play you
Silver|mb stop wp play
Gold|are noob play team trash you
Silver|useless game report team
Bronze|bot you quit afk bro
Grandmaster|team my useless stop are
Gold|bro the report trash
Silver|mid clutch gg bro are
Platinum|you diff noob bro play
Silver|my team mb mid clutch stop save
Gold|game my good bro play
Silver|clean team good game bro glhf
Diamond|game mid trash
Platinum|noob bro you team bot
Gold|mb good bro my clutch team you
Bronze|afk stop my trash
Silver|diff game bro
Platinum|bro gg mid glhf
Silver|the uninstall my team you
Diamond|are afk useless garbo play
Silver|mid stop garbo you
Diamond|thrower game bro ez afk
Gold|glhf game good team
Platinum|game noob afk stop useless
Grandmaster|game gg save good bro
Grandmaster|mid team bro play save wp clutch
Gold|play quit stop uninstall diff are
Silver|good mid team mb are bro
Gold|play you stop good clutch
Silver|mb wp play are game the save
Gold|suck bro thrower play
Gold|wp gg team are mid the
Platinum|afk suck are bro
Silver|uninstall thrower ez are stop game
Bronze|garbage stop game my quit trash
Diamond|game report bro
Diamond|useless you are bro
Platinum|good game the stop
Celestial|you save clean my mid game
Silver|bro team my ez the uninstall
Celestial|are the my quit garbage game report
Bronze|stop team you report
Platinum|ez report my the stop play
Platinum|useless are game stop
Silver|uninstall you garbage play
Diamond|you mid uninstall noob my thrower stop
Gold|are play mid good
Platinum|glhf play gg game clutch the
Gold|you save glhf bro clutch my
Bronze|bot are useless bro you
Platinum|ez game afk stop
Silver|you noob bro my game
Gold|garbo team report thrower bro
Bronze|afk report diff game my
Gold|stop garbage are trash
Bronze|uninstall mid stop
Bronze|bot team game
Silver|mid stop clean save
Gold|the game afk
Gold|are wp mb play game clean
Silver|garbo you bro
Silver|wp team game glhf are
Platinum|you team useless are
Diamond|you save team
Silver|uninstall stop are useless play
Platinum|garbo play ez the
Gold|save gg my glhf mid stop bro
Silver|diff afk my bro team trash
Silver|you good nice the my glhf
Gold|mid bro game gg nice
Silver|thrower team my suck bro garbage you
Silver|clutch play save you mid
Platinum|are play gg the clutch
Bronze|garbo quit stop mid
Silver|stop uninstall bro suck
Gold|game are nice mid good mb
Silver|are noob team the
Gold|quit bro ez mid garbo team
Silver|stop you suck my thrower the ez
Grandmaster|team mid suck play
Bronze|my the mid useless suck noob
Platinum|wp play are clutch team
Gold|bro thrower game stop
Gold|clean wp mid you team glhf
Silver|mid clutch bro
Bronze|the stop bot
Diamond|ez play trash bro
Bronze|you game play bro garbage
Bronze|the team my gg
Platinum|mb team save you
Silver|bro clean gg stop nice
Gold|you game trash
Diamond|my garbage bro are
Platinum|my thrower mid bro report
Gold|bro play wp good
Platinum|uninstall the team diff game
Silver|play are the quit bot trash team
Gold|you clean mid the glhf
Silver|garbage my uninstall diff the
Diamond|you play garbage team stop uninstall
Platinum|gg my wp the mb are
Gold|bro team glhf play stop mb
Diamond|are mb the clutch play
Silver|mb bro clutch mid glhf
Gold|trash game you
Gold|game bro my the save
Bronze|glhf game you mid gg bro
Gold|team ez game the report play
Grandmaster|clutch the mid are nice
Silver|stop team report bot garbage you
Gold|you game bro thrower my
Silver|bot you thrower game report team mid
Silver|the useless are bro thrower bot
Bronze|mid bro ez you
Celestial|ez the my thrower stop
Silver|the game garbo diff
Silver|nice are mb save game
Gold|suck the stop mid my useless
Silver|quit afk team the you
Silver|thrower stop suck team uninstall
Platinum|play report quit ez you
Silver|mid game bot trash my
Gold|mb game are the play
Bronze|ez my the
Gold|clutch gg stop clean game
Silver|team thrower stop
Gold|are report quit bro
Gold|stop noob game play report ez
Grandmaster|are save play the
Gold|my trash quit game play thrower
Gold|stop are game bro report
Diamond|are my the uninstall garbage mid
Gold|garbo suck play are bot you game
Silver|game stop you my wp
Gold|bro the quit
Platinum|game are good the gg
Gold|mid play clutch glhf
Silver|clutch my team
Gold|team mid game the diff garbo
Grandmaster|useless team mid
Gold|the uninstall game diff trash are bro
Platinum|play you mid are good glhf
Platinum|are the wp my gg
Gold|play wp clutch you team my save
Diamond|the are game mid clutch
Gold|my play the team quit
Platinum|my play glhf stop are
Silver|are garbage report play the team noob
Bronze|my bro trash garbo
Platinum|gg wp bro mid save play
Gold|team are bot report
Bronze|are suck useless stop team the
Bronze|the quit my
Bronze|thrower you garbo team stop
Platinum|the team save game play glhf wp
Platinum|the glhf my save mid
Bronze|bro you garbo
Gold|team play stop save clutch gg bro
Silver|mid game play clutch bro nice
Gold|stop mid bro suck you
Bronze|you glhf clutch stop wp
Gold|ez the garbo are mid stop
Platinum|my mid gg save play
Bronze|thrower uninstall my team
Grandmaster|thrower play are game
Silver|the gg game you are
Diamond|garbage ez bro the
Gold|my suck report stop play garbo mid
Silver|are clutch game
Gold|garbage diff you stop bro
Gold|my nice are good stop clean
Grandmaster|team noob my the ez bro
Silver|bro nice game
Gold|bro my trash
Silver|are thrower stop suck
Bronze|quit ez suck game my play
Silver|mid suck my
Bronze|ez thrower are my suck
Silver|bro are mb
Platinum|glhf you game mid stop
Diamond|bro garbo are garbage game ez you
Silver|are mid save clean bro
Bronze|you game useless my play
Gold|bro garbage noob you play my report
Gold|bro mid mb game
Silver|play are stop thrower the
Platinum|mid stop you the clean
Platinum|are you report game team
Gold|wp you my clean are save
Gold|game trash you thrower team the
Gold|wp clean stop are my
Silver|report stop ez game
Diamond|diff are ez mid
Gold|save good you mid mb
Bronze|team noob ez play
Platinum|the my trash
Gold|stop glhf good mid gg
Platinum|mid save are stop my nice
Silver|are team good mid nice stop
Gold|bro game stop good
Diamond|stop mid bro play diff trash
Gold|mid stop play thrower diff
Gold|thrower bro game are
Gold|uninstall my mid
Bronze|afk noob diff the mid my play
Platinum|game glhf nice stop gg
Silver|the garbage are team
Silver|stop quit noob game mid
Gold|my the game quit useless
Bronze|stop team the clean my
Diamond|game useless you diff stop suck
Gold|team quit game
Gold|the my team clean
Platinum|garbage my suck trash stop
Gold|mid team good clutch nice
Gold|good gg team mid
Diamond|garbage afk my game the play
Gold|team play bot
Gold|are you mid the save
Diamond|the mid bro trash
Silver|mid gg clutch are
Gold|mid the team clutch are
Gold|team clean good my the gg stop
Gold|you the ez trash bro
Diamond|you bro mid are afk
Bronze|bro mid thrower are garbo my
Bronze|good clean clutch mid game
Gold|team ez bot uninstall you
Diamond|my the suck bro
Gold|team bro stop diff useless you
Diamond|bot bro quit stop thrower
Diamond|mid play bot trash
Silver|team you stop play quit garbo
Gold|bro you uninstall team my garbage
Silver|team the suck
Bronze|diff garbo play game quit my
Silver|thrower team game bro play
Bronze|clean bro the team
Platinum|suck the quit game
Silver|play garbo you thrower suck stop
Silver|bro report team trash are game
Silver|you the diff my bot
Platinum|stop the ez are bro
Platinum|bro you gg my wp team mb
Gold|save game are glhf my team
Diamond|my bot play bro suck
Silver|you the my gg clutch wp
Gold|play report team game my
Gold|wp game play gg
Gold|trash afk you stop
Bronze|mid team stop clutch the
Gold|the you my thrower stop afk
Gold|bro save gg good stop
Bronze|you garbage thrower mid game the
Bronze|the good stop wp mb play
Diamond|my bro suck play ez
Celestial|my the bro gg team
Silver|team game clean clutch
Gold|report team bot noob are
Diamond|game play report my
Silver|report trash mid garbo team
Bronze|trash report play team
Bronze|you report the
Silver|clutch game team mid
Silver|are gg you good
Gold|good mb save you bro
Diamond|diff are bro
Silver|game are report quit suck stop
Gold|game uninstall stop team play
Bronze|garbo game bro diff play
Gold|nice stop you
Silver|stop you garbo mid bro bot useless
Gold|my mid team garbo stop thrower uninstall
Gold|stop the bro you useless
Gold|glhf bro are stop game clutch
Platinum|good glhf game my clutch stop bro
Gold|are mb play game
Gold|are mid quit diff my useless
Gold|clean stop clutch bro my play wp
Bronze|good team the my mid
Bronze|stop ez game quit mid
Gold|ez trash my bro
Gold|report team play
Platinum|game garbo mid play
Platinum|team gg play you clean my good
Gold|mid play glhf my
Bronze|suck game thrower quit are
Platinum|the are game clean
Bronze|trash ez stop bro mid are uninstall
Silver|bro save good clutch play team
Silver|play are bot
Diamond|suck are you stop
Gold|thrower are bro bot
Grandmaster|the diff bro uninstall stop you bot
Platinum|my are garbage you useless
Gold|clutch you mid my the mb
Gold|mb play wp team save
Gold|play bot game the bro
Gold|good game team wp gg my
Gold|bot stop mid my play
Silver|uninstall are mid bro bot the thrower
Silver|are garbage the suck thrower
Bronze|garbo quit stop are
Diamond|team suck the my
Gold|thrower bot play my garbage you
Silver|you quit garbo play diff
Gold|report you are play suck uninstall
Diamond|the my diff game are
Diamond|good nice you save play
Diamond|report you garbo game noob the
Gold|mid clutch game clean bro my
Platinum|play the save team glhf clean
Platinum|my game mb bro
Silver|team are stop afk
Bronze|bro uninstall team garbo thrower game mid
Gold|you ez game report bot
Gold|team quit play stop
Platinum|bro nice glhf play clean the game
Grandmaster|play team game garbo bro
Silver|stop nice game
Gold|nice mid my team
Diamond|team the mid quit you
Gold|team noob garbo report you my are
Diamond|stop play good gg are nice team
Silver|are useless you
Gold|the glhf team gg save bro
Grandmaster|game are mid bro garbo
Diamond|game bot bro garbo ez
